Year,Fuel_Price,Dates,Date_year
1/1/1985,0.2,1985-01-01,1985
2/1/1985,0.2,1985-02-01,1985
3/1/1985,0.2,1985-03-01,1985
4/1/1985,0.2,1985-04-01,1985
5/1/1985,0.2,1985-05-01,1985
6/1/1985,0.2,1985-06-01,1985
7/1/1985,0.2,1985-07-01,1985
8/1/1985,0.2,1985-08-01,1985
9/1/1985,0.2,1985-09-01,1985
10/1/1985,0.2,1985-10-01,1985
11/1/1985,0.2,1985-11-01,1985
12/1/1985,0.2,1985-12-01,1985
1/1/1986,0.4,1986-01-01,1986
2/1/1986,0.4,1986-02-01,1986
3/1/1986,0.4,1986-03-01,1986
4/1/1986,0.4,1986-04-01,1986
5/1/1986,0.4,1986-05-01,1986
6/1/1986,0.4,1986-06-01,1986
7/1/1986,0.4,1986-07-01,1986
8/1/1986,0.4,1986-08-01,1986
9/1/1986,0.4,1986-09-01,1986
10/1/1986,0.4,1986-10-01,1986
11/1/1986,0.4,1986-11-01,1986
12/1/1986,0.4,1986-12-01,1986
1/1/1987,0.4,1987-01-01,1987
2/1/1987,0.4,1987-02-01,1987
3/1/1987,0.4,1987-03-01,1987
4/1/1987,0.4,1987-04-01,1987
5/1/1987,0.4,1987-05-01,1987
6/1/1987,0.4,1987-06-01,1987
7/1/1987,0.4,1987-07-01,1987
8/1/1987,0.4,1987-08-01,1987
9/1/1987,0.4,1987-09-01,1987
10/1/1987,0.4,1987-10-01,1987
11/1/1987,0.4,1987-11-01,1987
12/1/1987,0.4,1987-12-01,1987
1/1/1988,0.4,1988-01-01,1988
2/1/1988,0.4,1988-02-01,1988
3/1/1988,0.4,1988-03-01,1988
4/1/1988,0.42,1988-04-01,1988
5/1/1988,0.42,1988-05-01,1988
6/1/1988,0.42,1988-06-01,1988
7/1/1988,0.42,1988-07-01,1988
8/1/1988,0.42,1988-08-01,1988
9/1/1988,0.42,1988-09-01,1988
10/1/1988,0.42,1988-10-01,1988
11/1/1988,0.42,1988-11-01,1988
12/1/1988,0.42,1988-12-01,1988
1/1/1989,0.6,1989-01-01,1989
2/1/1989,0.6,1989-02-01,1989
3/1/1989,0.6,1989-03-01,1989
4/1/1989,0.6,1989-04-01,1989
5/1/1989,0.6,1989-05-01,1989
6/1/1989,0.6,1989-06-01,1989
7/1/1989,0.6,1989-07-01,1989
8/1/1989,0.6,1989-08-01,1989
9/1/1989,0.6,1989-09-01,1989
10/1/1989,0.6,1989-10-01,1989
11/1/1989,0.6,1989-11-01,1989
12/1/1989,0.6,1989-12-01,1989
1/1/1990,0.6,1990-01-01,1990
2/1/1990,0.6,1990-02-01,1990
3/1/1990,0.6,1990-03-01,1990
4/1/1990,0.6,1990-04-01,1990
5/1/1990,0.6,1990-05-01,1990
6/1/1990,0.6,1990-06-01,1990
7/1/1990,0.6,1990-07-01,1990
8/1/1990,0.6,1990-08-01,1990
9/1/1990,0.6,1990-09-01,1990
10/1/1990,0.6,1990-10-01,1990
11/1/1990,0.6,1990-11-01,1990
12/1/1990,0.6,1990-12-01,1990
1/1/1991,0.7,1991-01-01,1991
2/1/1991,0.7,1991-02-01,1991
3/1/1991,0.7,1991-03-01,1991
4/1/1991,0.7,1991-04-01,1991
5/1/1991,0.7,1991-05-01,1991
6/1/1991,0.7,1991-06-01,1991
7/1/1991,0.7,1991-07-01,1991
8/1/1991,0.7,1991-08-01,1991
9/1/1991,0.7,1991-09-01,1991
10/1/1991,0.7,1991-10-01,1991
11/1/1991,0.7,1991-11-01,1991
12/1/1991,0.7,1991-12-01,1991
1/1/1992,0.7,1992-01-01,1992
2/1/1992,0.7,1992-02-01,1992
3/1/1992,0.7,1992-03-01,1992
4/1/1992,0.7,1992-04-01,1992
5/1/1992,0.7,1992-05-01,1992
6/1/1992,0.7,1992-06-01,1992
7/1/1992,0.7,1992-07-01,1992
8/1/1992,0.7,1992-08-01,1992
9/1/1992,0.7,1992-09-01,1992
10/1/1992,0.7,1992-10-01,1992
11/1/1992,0.7,1992-11-01,1992
12/1/1992,0.7,1992-12-01,1992
1/1/1993,0.7,1993-01-01,1993
2/1/1993,0.7,1993-02-01,1993
3/1/1993,0.7,1993-03-01,1993
